"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01001","L ABERGEMENT CLEMENCIAT","01400","L ABERGEMENT CLEMENCIAT",,"46.1517018,4.9306005","46.1517018","4.9306005"
"01002","L ABERGEMENT DE VAREY","01640","L ABERGEMENT DE VAREY",,"46.007131,5.4246442","46.007131","5.4246442"
"01004","AMBERIEU EN BUGEY","01500","AMBERIEU EN BUGEY",,"45.9574707,5.37056825","45.9574707","5.37056825"
"01005","AMBERIEUX EN DOMBES","01330","AMBERIEUX EN DOMBES",,"45.99922935,4.9118718","45.99922935","4.9118718"
"01006","AMBLEON","01300","AMBLEON",,"45.74831435,5.5927847","45.74831435","5.5927847"
"01007","AMBRONAY","01500","AMBRONAY",,"46.00987325,5.3626546","46.00987325","5.3626546"
"01008","AMBUTRIX","01500","AMBUTRIX",,"45.934726749999996,5.3359178499999995","45.934726749999996","5.3359178499999995"
"01009","ANDERT ET CONDON","01300","ANDERT ET CONDON",,"45.784076,5.66066905","45.784076","5.66066905"
"01010","ANGLEFORT","01350","ANGLEFORT",,"45.908577750000006,5.7947755","45.908577750000006","5.7947755"
"01011","APREMONT","01100","APREMONT",,"46.2045065,5.66189915","46.2045065","5.66189915"
"01012","ARANC","01110","ARANC",,"45.99714985,5.5140125","45.99714985","5.5140125"
"01013","ARANDAS","01230","ARANDAS",,"45.8885403,5.4981960999999995","45.8885403","5.4981960999999995"
"01014","ARBENT","01100","ARBENT",,"46.28381295,5.68792005","46.28381295","5.68792005"
"01015","ARBOYS EN BUGEY","01300","ARBOYS EN BUGEY","ARBIGNIEU","45.71887355,5.640431749999999","45.71887355","5.640431749999999"
"01015","ARBOYS EN BUGEY","01300","ARBOYS EN BUGEY","ST BOIS","45.71887355,5.640431749999999","45.71887355","5.640431749999999"
"01016","ARBIGNY","01190","ARBIGNY",,"46.48084735,4.961327150000001","46.48084735","4.961327150000001"
"01017","ARGIS","01230","ARGIS",,"45.93220895,5.481942999999999","45.93220895","5.481942999999999"
"01019","ARMIX","01510","ARMIX",,"45.85225065,5.583662","45.85225065","5.583662"
"01021","ARS SUR FORMANS","01480","ARS SUR FORMANS",,"45.990391349999996,4.81946885","45.990391349999996","4.81946885"
"01022","ARTEMARE","01510","ARTEMARE",,"45.8700635,5.69203385","45.8700635","5.69203385"
"01023","ASNIERES SUR SAONE","01570","ASNIERES SUR SAONE",,"46.385861750000004,4.8819912500000004","46.385861750000004","4.8819912500000004"
"01024","ATTIGNAT","01340","ATTIGNAT",,"46.28581725,5.18228795","46.28581725","5.18228795"
"01025","BAGE DOMMARTIN","01380","BAGE DOMMARTIN","BAGE LA VILLE","46.32767035,4.970408750000001","46.32767035","4.970408750000001"
"01025","BAGE DOMMARTIN","01380","BAGE DOMMARTIN","DOMMARTIN","46.32767035,4.970408750000001","46.32767035","4.970408750000001"
